ED,Median earned income per commuter travelling less than 30 minutes (Euro) by Electoral Division and Year,Median earned income per commuter travelling greater than 30 minutes,"Agriculture, Forestry and Fishing (A) (%)",Construction (F) (%),"Financial, Real Estate, Administrative and Services (K,L,N,S) (%)","ICT, Scientific and Recreation (J,M,R) (%)","Industry (B,C,D,E) (%)","Public Service, Education and Health (O,P,Q) (%)","Wholesale, Transport and Accomodation (G,H,I) (%)",Proportion of households working age social welfare was majority of household income (%) by Electoral Division and Year
"083 Broadford, Co. Limerick",26794.00,40782.00,12.70,8.50,6.30,5.70,18.40,31.90,16.50,11.10
"084 Caher, Co. Limerick",24593.00,39063.00,7.70,7.20,11.20,16.70,20.80,20.80,15.60,14.80
"085 Cleanglass, Co. Limerick",25060.00,31437.00,16.00,7.70,9.20,6.90,14.80,22.80,22.60,8.20
"086 Cloncagh, Co. Limerick",29521.00,38816.00,21.00,9.40,8.80,6.90,16.00,30.60,7.40,4.90
"087 Danganbeg, Co. Limerick",33644.00,39633.00,11.40,8.70,6.30,13.70,22.00,23.80,14.10,8.70
"088 Dromcolliher, Co. Limerick",27559.00,37236.00,10.70,8.10,10.70,7.20,19.10,29.80,14.50,12.20
"089 Dromtrasna, Co. Limerick",27516.00,39404.00,6.90,9.20,8.40,6.10,20.50,30.20,18.70,13.50
"090 Feenagh, Co. Limerick",26020.00,40753.00,12.90,8.60,12.30,10.50,14.00,27.30,14.50,11.30
"091 Garryduff, Co. Limerick",27493.00,31725.00,7.90,8.00,12.30,8.70,17.20,26.80,19.10,11.10
"092 Glenagower, Co. Limerick",27207.00,41850.00,6.00,12.00,9.00,15.30,26.80,20.30,10.60,17.20
"093 Glengort, Co. Limerick",24904.00,33704.00,11.00,5.50,8.80,6.40,17.50,29.00,21.80,9.10
"094 Glensharrold, Co. Limerick",23221.00,33202.00,4.80,10.60,9.00,11.90,24.40,20.50,18.90,25.00
"095 Kilmeedy, Co. Limerick",27333.00,42055.00,13.00,9.30,7.40,6.70,14.00,31.00,18.60,10.80
"096 Knockaderry, Co. Limerick",28000.00,39560.00,8.20,6.10,8.90,9.40,17.40,23.70,26.30,6.20
"097 Mahoonagh, Co. Limerick",28086.00,38994.00,6.10,12.20,10.70,7.40,21.10,26.20,16.40,12.60
"098 Monagay, Co. Limerick",30478.00,41785.00,8.10,5.80,8.00,8.70,25.00,25.60,18.80,12.50
"099 Mountcollins, Co. Limerick",24970.00,33100.00,8.30,11.00,10.30,4.90,25.30,22.60,17.50,23.80
"100 Mountplummer, Co. Limerick",25723.00,38752.00,17.10,13.50,9.80,5.80,19.60,20.40,13.80,9.80
"101 Newcastle Rural, Co. Limerick",26916.00,44570.00,3.40,5.00,8.20,9.10,20.70,31.50,22.00,11.50
"102 Newcastle Urban, Co. Limerick",24208.00,34475.00,1.70,6.70,9.50,6.30,25.40,26.40,23.90,21.50
"103 Port, Co. Limerick",26500.00,34410.00,7.60,6.00,13.20,12.60,22.40,20.60,17.50,15.70
"104 Rathronan, Co. Limerick",26000.00,38574.00,8.40,8.70,9.40,8.20,21.80,24.90,18.60,17.30
"105 Rooskagh, Co. Limerick",31641.00,38519.00,8.30,6.40,10.10,10.20,17.60,27.80,19.60,11.10
"106 Templeglentan, Co. Limerick",26234.00,40676.00,7.50,13.60,5.20,5.10,25.20,25.80,17.70,13.90
"107 Askeaton East, Co. Limerick",31789.00,43187.00,6.20,7.30,8.70,8.70,32.50,22.40,14.20,22.50
"108 Askeaton West, Co. Limerick",28918.00,31911.00,3.70,7.00,8.70,7.70,32.90,23.60,16.40,20.80
"109 Aughinish, Co. Limerick",41209.00,33681.00,6.10,5.80,13.20,5.90,35.80,18.60,14.60,6.90
"110 Ballyallinan, Co. Limerick",32983.00,34378.00,11.50,9.50,8.80,7.80,25.60,23.10,13.70,10.60
"111 Ballynacarriga, Co. Limerick",36260.00,37120.00,2.80,6.80,13.00,12.40,21.10,28.10,15.70,6.00
"112 Castletown, Co. Limerick",36306.00,32926.00,7.10,4.80,8.30,12.70,26.90,22.70,17.50,8.90
"113 Craggs, Co. Limerick",27560.00,34930.00,9.30,7.10,7.10,9.40,28.70,17.60,20.80,10.00
"114 Croagh, Co. Limerick",34840.00,41537.00,7.70,5.50,9.00,12.90,16.00,28.50,20.40,5.70
"115 Dromard, Co. Limerick",36049.00,47202.00,7.30,4.10,12.90,10.60,17.60,33.80,13.70,6.10
"116 Dunmoylan East, Co. Limerick",29427.00,35976.00,9.10,6.50,9.80,6.80,25.60,21.30,20.80,7.60
"117 Dunmoylan West, Co. Limerick",NA,NA,18.70,6.10,22.80,4.60,7.20,24.30,16.30,13.00
"118 Iveruss, Co. Limerick",32564.00,35844.00,8.20,9.10,9.80,10.60,24.80,22.80,14.70,8.10
"119 Kilcornan, Co. Limerick",33360.00,42800.00,4.50,5.80,11.30,9.00,22.70,28.50,18.30,7.00
"120 Kildimo, Co. Limerick",33879.00,38625.00,4.70,5.30,13.50,13.00,22.60,24.00,16.90,8.00
"121 Kilscannell, Co. Limerick",30985.00,38967.00,10.70,7.00,6.10,8.30,18.20,33.80,15.90,5.40
"122 Lismakeery, Co. Limerick",33070.00,37625.00,11.20,7.30,12.90,7.20,27.20,20.50,13.70,6.10
"123 Loghill, Co. Limerick",27268.00,40859.00,7.50,6.60,8.80,9.50,22.50,29.30,15.80,19.40
"124 Mohernagh, Co. Limerick",26367.00,43351.00,7.20,8.90,8.10,6.50,31.80,20.60,16.80,6.40
"125 Nantinan, Co. Limerick",27999.00,35420.00,7.40,7.00,11.90,6.80,30.80,20.10,16.00,9.20
"126 Pallaskenry, Co. Limerick",30515.00,37261.00,2.60,5.90,9.90,10.40,21.40,30.00,19.80,16.80
"127 Rathkeale Rural, Co. Limerick",26374.00,42676.00,8.70,7.40,17.40,8.90,19.10,26.80,11.70,11.00
"128 Rathkeale Urban, Co. Limerick",24422.00,29766.00,3.50,8.10,9.30,10.20,20.30,28.20,20.40,32.10
"129 Riddlestown, Co. Limerick",31191.00,36965.00,11.40,5.40,11.10,7.60,21.20,23.50,19.90,5.10
"130 Shanagolden, Co. Limerick",31640.00,38835.00,3.10,4.50,8.20,8.50,27.70,23.20,24.80,12.40
"131 Shanid, Co. Limerick",35463.00,40001.00,5.30,5.40,8.50,9.70,25.90,26.30,18.90,7.90
"132 Bilboa, Co. Limerick",32500.00,40164.00,7.00,7.10,9.00,9.00,11.70,34.50,21.70,10.70
"133 Doon South, Co. Limerick",25754.00,34516.00,6.10,6.10,9.90,7.00,8.90,40.00,21.80,15.40
"134 Grean, Co. Limerick",29263.00,40525.00,5.20,6.10,9.20,13.50,15.30,31.30,19.40,16.70
"135 Oola, Co. Limerick",32022.00,35968.00,10.80,7.00,10.00,6.00,12.30,37.20,16.80,13.30
"136 Templebredon, Co. Limerick",34727.00,35639.00,9.50,3.80,12.20,14.30,11.90,33.80,14.50,7.90
"001 Nenagh East Urban, North Tipperary",23287.00,33042.00,2.10,4.80,8.20,6.40,23.60,33.30,21.70,23.80
"002 Nenagh West Urban, North Tipperary",24020.00,38856.00,1.60,4.60,11.00,7.30,21.90,34.70,18.90,21.80
"003 Templemore, North Tipperary",25963.00,36987.00,3.40,5.80,8.20,9.20,14.90,36.30,22.10,20.60
"004 Thurles Urban, North Tipperary",24083.00,38544.00,1.10,5.80,11.40,8.20,17.80,33.10,22.60,23.10
"005 Aglishcloghane, North Tipperary",21117.00,27805.00,19.40,7.80,11.90,7.10,13.20,26.90,13.80,11.20
"006 Ballingarry, North Tipperary",26189.00,40421.00,22.00,7.20,9.60,6.10,13.50,26.50,15.20,10.40
"007 Ballylusky, North Tipperary",27090.00,45184.00,13.70,8.40,12.00,9.00,12.30,25.50,19.20,6.90
"008 Borrisokane, North Tipperary",22546.00,38553.00,10.10,5.50,8.80,7.50,14.70,33.60,19.80,19.20
"009 Carrig, North Tipperary",NA,NA,22.00,7.50,12.60,5.70,12.90,27.30,11.90,3.00
"010 Cloghjordan, North Tipperary",22325.00,35127.00,11.60,6.00,10.40,11.80,9.10,31.00,19.90,16.50
"011 Cloghprior, North Tipperary",23157.00,28058.00,13.20,11.90,11.90,11.40,8.00,23.90,19.70,15.60
"012 Clohaskin, North Tipperary",19599.00,49107.00,19.70,8.00,8.70,8.70,10.80,26.40,17.70,13.30
"013 Finnoe, North Tipperary",32573.00,37130.00,17.60,9.20,16.20,10.40,14.00,19.70,12.90,14.30
"014 Graigue, North Tipperary",22733.00,32525.00,19.30,5.60,11.40,7.60,15.60,24.10,16.50,18.90
"015 Kilbarron, North Tipperary",27388.00,48067.00,14.10,10.70,11.60,7.10,8.80,30.90,16.80,8.90
"016 Lorrha East, North Tipperary",22494.00,33981.00,18.30,7.40,8.00,3.00,12.30,36.30,14.70,13.00
"017 Lorrha West, North Tipperary",29337.00,47715.00,25.20,6.40,7.30,10.50,10.80,30.30,9.60,7.20
"018 Mertonhall, North Tipperary",NA,NA,20.50,6.80,11.10,8.40,12.40,28.90,11.80,3.40
"019 Rathcabban, North Tipperary",20122.00,25917.00,23.30,0.10,10.30,10.70,11.50,27.80,16.40,22.00
"020 Redwood, North Tipperary",25700.00,35487.00,26.10,2.10,15.50,9.30,3.50,23.90,19.40,11.10
"021 Riverstown, North Tipperary",29224.00,42834.00,10.10,5.20,4.80,8.00,13.30,37.70,21.00,12.60
"022 Terryglass, North Tipperary",28846.00,42340.00,12.40,4.00,11.70,11.10,12.40,30.40,18.10,8.00
"023 Uskane, North Tipperary",NA,NA,22.90,3.70,9.90,3.80,13.50,30.40,15.70,8.50
"024 Abington, North Tipperary",28141.00,35743.00,7.70,12.40,10.00,6.50,16.60,30.60,16.20,12.20
"025 Aghnameadle, North Tipperary",NA,NA,12.10,3.40,7.50,5.20,13.00,44.10,14.70,5.70
"026 Ardcrony, North Tipperary",26719.00,43330.00,11.20,8.60,13.30,5.80,16.60,29.50,15.10,12.00
"027 Ballina, North Tipperary",33475.00,47008.00,1.80,3.40,12.40,16.00,16.10,30.20,20.10,9.20
"028 Ballygibbon, North Tipperary",28743.00,43352.00,15.70,5.70,5.90,6.70,13.80,35.00,17.20,8.10
"029 Ballymackey, North Tipperary",32179.00,37614.00,17.20,5.20,8.60,5.90,13.80,31.70,17.60,11.00
"030 Ballynaclogh, North Tipperary",32122.00,38800.00,9.40,4.90,7.70,7.80,17.60,36.30,16.20,10.90
"031 Birdhill, North Tipperary",36155.00,35058.00,4.40,5.20,12.20,16.00,16.90,27.50,17.70,9.40
"032 Burgesbeg, North Tipperary",33623.00,38102.00,9.40,5.90,12.00,5.20,18.70,38.60,10.10,7.10
"033 Carrigatogher, North Tipperary",30576.00,42776.00,11.40,5.40,8.70,6.90,15.20,34.60,17.80,7.30
"034 Castletown, North Tipperary",24157.00,46547.00,5.60,7.50,10.60,11.00,18.30,31.80,15.30,15.90
"035 Derrycastle, North Tipperary",27228.00,38281.00,7.50,6.60,16.00,15.00,15.80,27.10,12.10,8.10
"036 Dolla, North Tipperary",29359.00,33171.00,17.00,6.80,6.80,8.40,15.60,33.00,12.30,11.70
999Greenhall / Lackagh,34001.00,40294.00,7.00,7.30,12.60,9.80,17.10,26.30,19.90,8.30
"038 Kilcomenty, North Tipperary",36388.00,37982.00,4.30,5.60,10.30,7.40,18.60,35.00,18.70,6.70
"039 Kilkeary, North Tipperary",32640.00,44779.00,15.40,7.10,8.40,5.70,17.40,32.10,13.90,8.50
"040 Killoscully, North Tipperary",31821.00,39824.00,6.60,6.70,13.20,12.50,15.80,24.40,20.80,4.30
"041 Kilmore, North Tipperary",25033.00,43111.00,10.50,5.20,9.10,5.40,22.80,33.60,13.40,15.30
"042 Kilnaneave, North Tipperary",31018.00,40827.00,18.60,10.70,11.30,2.50,13.10,28.50,15.20,9.10
"043 Kilnarath, North Tipperary",31690.00,36727.00,6.10,11.00,15.80,10.20,12.60,30.30,14.00,10.70
"044 Knigh, North Tipperary",27909.00,39498.00,11.00,5.40,11.70,7.60,18.10,32.20,14.10,10.30
"046 Latteragh, North Tipperary",25777.00,41914.00,14.30,10.50,8.30,7.60,13.50,30.90,15.00,20.80
"047 Monsea, North Tipperary",25504.00,52142.00,7.10,5.40,10.90,11.10,18.40,33.40,13.70,10.70
"048 Nenagh Rural, North Tipperary",33891.00,43727.00,6.10,4.20,10.00,8.00,14.70,38.50,18.60,7.90
"049 Newport, North Tipperary",32943.00,41190.00,1.80,4.50,10.30,11.70,20.50,30.00,21.10,13.20
"050 Templederry, North Tipperary",NA,NA,11.30,4.80,14.40,12.80,16.60,22.50,17.60,15.70
"051 Youghalarra, North Tipperary",33125.00,44314.00,6.30,7.70,9.80,13.50,15.90,31.90,14.80,5.20
"052 Borrisnafarney, North Tipperary",26314.00,36310.00,27.60,7.00,8.80,8.10,10.40,24.30,13.80,8.60
"053 Borrisnoe, North Tipperary",33286.00,41193.00,11.70,12.60,13.50,11.10,7.30,20.20,23.50,5.40
"054 Bourney East, North Tipperary",27820.00,41301.00,20.50,4.80,7.40,9.00,11.90,29.80,16.50,5.30
"055 Bourney West, North Tipperary",25338.00,36032.00,20.90,7.60,8.50,5.20,11.40,28.90,17.50,13.70
"056 Killavinoge, North Tipperary",28329.00,35670.00,14.60,6.70,7.50,6.80,10.90,37.30,16.20,10.20
"057 Killea, North Tipperary",24522.00,36204.00,18.00,8.90,5.70,8.30,9.40,31.90,17.80,18.10
"058 Rathnaveoge, North Tipperary",29798.00,51046.00,11.90,6.10,8.50,9.40,11.30,36.00,16.60,6.20
"059 Roscrea, North Tipperary",23327.00,37671.00,3.80,4.50,9.90,7.00,21.80,29.10,23.90,22.40
"060 Timoney, North Tipperary",23452.00,42192.00,18.00,7.70,10.20,7.80,13.60,24.40,18.30,10.20
"061 Ballycahill, North Tipperary",27287.00,39623.00,15.90,4.50,5.10,14.70,12.80,28.80,18.20,6.00
"062 Ballymurreen, North Tipperary",31221.00,44657.00,12.80,3.20,16.90,13.60,13.30,24.70,15.50,14.00
"063 Borrisoleigh, North Tipperary",26788.00,37033.00,5.00,6.70,12.60,5.50,11.60,33.20,25.50,14.30
"064 Drom, North Tipperary",31119.00,38391.00,11.30,8.40,7.90,7.20,11.40,40.50,13.30,7.80
"065 Foilnaman, North Tipperary",24757.00,33881.00,15.20,12.70,10.10,10.20,10.50,24.30,17.10,10.60
"066 Glenkeen, North Tipperary",33988.00,36092.00,14.30,8.30,9.60,8.60,13.90,31.30,14.00,5.30
"067 Gortkelly, North Tipperary",28770.00,39543.00,14.30,8.50,10.70,6.20,9.00,29.90,21.40,5.90
"068 Holycross, North Tipperary",27459.00,38781.00,11.80,7.60,9.00,6.90,13.60,35.00,16.10,6.70
"069 Inch, North Tipperary",31357.00,37068.00,15.30,7.30,9.50,12.00,11.90,27.40,16.80,11.60
"070 Kilrush, North Tipperary",28900.00,42529.00,14.20,6.00,14.10,7.50,7.80,29.60,20.80,9.30
"071 Littleton, North Tipperary",24554.00,42978.00,10.30,10.10,11.60,6.20,16.50,25.80,19.40,17.30
"072 Longfordpass, North Tipperary",29499.00,39908.00,18.10,7.30,13.40,1.40,23.00,23.40,13.50,12.20
"073 Loughmoe, North Tipperary",30847.00,46153.00,17.20,4.90,7.60,10.70,10.80,34.40,14.40,8.80
"074 Moyaliff, North Tipperary",27319.00,37953.00,15.30,10.60,9.90,7.50,14.90,26.00,15.70,10.20
"075 Moycarky, North Tipperary",27078.00,35761.00,13.50,8.70,9.30,8.00,12.10,29.50,18.90,12.00
"076 Moyne, North Tipperary",29911.00,43055.00,20.40,5.10,12.30,7.50,9.40,29.00,16.30,9.90
"077 Rahelty, North Tipperary",30356.00,39183.00,12.40,7.10,12.60,7.00,10.30,32.40,18.20,13.60
"078 Templetouhy, North Tipperary",25520.00,43151.00,15.10,6.80,8.40,6.90,10.20,34.10,18.60,15.30
"079 Thurles Rural, North Tipperary",30217.00,41401.00,4.00,4.80,10.60,9.70,12.50,37.10,21.30,9.80
"080 Twomileborris, North Tipperary",26402.00,40570.00,7.50,14.90,7.10,8.50,14.00,26.50,21.40,12.90
"081 Upperchurch, North Tipperary",30779.00,37477.00,14.80,8.70,9.30,6.00,10.30,30.40,20.50,9.60
"082 Carrickbeg Urban, South Tipperary",23578.00,33814.00,2.50,6.50,13.80,10.50,25.30,23.70,17.80,22.90
"083 Carrick-on-Suir Urban, South Tipperary",22496.00,31264.00,3.50,7.10,13.20,6.70,26.80,20.50,22.10,33.10
"084 Cashel Urban, South Tipperary",21442.00,31949.00,4.10,6.50,9.40,9.00,10.20,31.70,29.10,29.10
"085 Clonmel East Urban, South Tipperary",26623.00,47059.00,0.80,4.10,13.90,8.70,20.40,33.10,19.10,22.60
"086 Clonmel West Urban, South Tipperary",23320.00,37543.00,1.30,4.50,14.20,7.50,18.80,32.80,20.80,25.80
"087 Tipperary East Urban, South Tipperary",19025.00,33297.00,2.90,6.30,12.00,8.90,14.20,27.20,28.60,37.00
"088 Tipperary West Urban, South Tipperary",19723.00,36104.00,3.70,4.40,9.80,8.50,15.70,32.00,25.80,26.10
"089 Carrick-on-Suir Rural, South Tipperary",28393.00,37665.00,9.20,6.90,13.80,13.50,15.50,28.40,12.60,10.50
"090 Garrangibbon, South Tipperary",26815.00,25450.00,15.60,9.60,9.20,8.30,12.80,29.10,15.40,16.60
"091 Kilmurry, South Tipperary",33953.00,35461.00,17.70,5.00,11.70,6.50,21.70,22.70,14.60,16.90
"092 Newtown, South Tipperary",26995.00,32451.00,14.10,7.40,12.10,12.60,11.50,32.00,10.30,11.00
"093 Ardmayle, South Tipperary",25678.00,37725.00,12.40,6.30,8.00,12.20,10.40,28.60,22.10,13.90
"094 Ardsallagh, South Tipperary",31747.00,47535.00,22.10,5.50,10.30,12.80,13.90,22.50,12.90,4.50
"095 Ballysheehan, South Tipperary",34511.00,42740.00,11.60,8.80,12.00,9.60,9.20,31.30,17.50,3.80
"096 Cashel Rural, South Tipperary",26109.00,41167.00,7.20,5.50,13.10,7.30,13.60,32.30,21.10,16.90
"097 Clogher, South Tipperary",32624.00,40910.00,9.50,8.50,12.90,6.40,16.80,28.20,17.70,9.30
"098 Cloneen, South Tipperary",29162.00,35254.00,13.40,9.90,13.50,9.60,13.80,24.60,15.20,12.10
"099 Clonoulty East, South Tipperary",25671.00,29275.00,13.60,11.20,9.80,2.70,14.10,30.70,17.80,14.00
"100 Clonoulty West, South Tipperary",27348.00,33773.00,21.70,5.80,9.90,7.70,12.50,22.40,20.00,11.00
"101 Colman, South Tipperary",33399.00,39883.00,9.90,9.60,9.00,14.70,18.90,25.50,12.50,6.80
"102 Cooleagh, South Tipperary",31484.00,38596.00,18.30,9.90,11.70,10.80,8.20,26.20,14.90,7.90
"103 Drangan, South Tipperary",28784.00,26810.00,17.60,11.00,10.20,7.70,19.10,21.60,12.80,18.20
"104 Fethard, South Tipperary",25582.00,33126.00,7.60,9.50,12.90,12.10,12.30,29.70,15.90,25.60
"105 Gaile, South Tipperary",28287.00,41262.00,9.50,7.00,11.20,10.30,10.30,34.60,17.10,12.60
"106 Graigue, South Tipperary",NA,NA,20.70,0.90,10.00,8.70,16.70,31.90,11.10,6.10
"107 Greystown, South Tipperary",28381.00,32189.00,14.00,7.50,11.60,6.00,17.90,23.70,19.30,14.70
"108 Killeenasteena, South Tipperary",34591.00,50463.00,14.90,7.30,11.50,10.40,11.10,31.60,13.20,4.40
"109 Killenaule, South Tipperary",25360.00,32166.00,11.00,10.10,10.70,10.10,12.90,24.70,20.60,22.90
"110 Kilpatrick, South Tipperary",26162.00,39996.00,11.60,3.50,9.70,10.50,14.70,34.60,15.50,12.40
"111 Knockgraffon, South Tipperary",28361.00,37646.00,13.40,9.40,8.30,11.10,14.70,23.10,19.90,11.60
"112 Magorban, South Tipperary",31102.00,31931.00,14.30,4.80,14.00,13.50,10.70,26.90,15.80,7.10
"113 Nodstown, South Tipperary",34595.00,37470.00,14.20,5.30,10.50,6.60,13.10,35.70,14.60,5.20
"114 Oughterleague, South Tipperary",28401.00,43795.00,15.00,7.40,9.70,7.80,12.20,32.20,15.80,18.80
"115 Peppardstown, South Tipperary",30390.00,47054.00,19.10,4.20,11.80,9.00,15.40,24.10,16.50,20.10
"116 Tullamain, South Tipperary",28648.00,54337.00,12.10,6.10,10.70,23.10,9.10,25.30,13.60,10.00
"117 Ardfinnan, South Tipperary",29772.00,39553.00,11.10,5.70,13.30,9.20,18.70,26.00,16.00,15.70
"118 Ballybacon, South Tipperary",31330.00,50496.00,8.00,12.00,11.00,9.60,16.50,27.80,15.10,9.20
"119 Ballyporeen, South Tipperary",25109.00,37976.00,15.70,7.40,15.60,8.00,14.50,26.80,12.00,17.10
"120 Burncourt, South Tipperary",29175.00,41302.00,16.70,10.70,8.70,10.50,20.60,20.80,12.10,12.40
"121 Caher, South Tipperary",24900.00,44698.00,6.60,7.20,11.00,7.50,19.00,30.20,18.40,9.60
"122 Clogheen, South Tipperary",22644.00,36883.00,16.70,9.20,9.80,6.30,12.70,28.10,17.10,20.10
"123 Coolagarranroe, South Tipperary",27319.00,51518.00,9.70,8.90,12.80,8.30,26.20,20.40,13.70,8.50
"124 Derrygrath, South Tipperary",34350.00,44885.00,10.80,9.60,9.60,7.70,15.40,31.40,15.40,5.20
"125 Kilcommon, South Tipperary",22344.00,39108.00,4.90,5.00,14.40,8.30,23.20,24.40,19.70,19.50
"126 Kilcoran, South Tipperary",32285.00,46934.00,15.80,7.90,9.20,9.90,18.60,25.40,13.20,7.70
"127 Mortlestown, South Tipperary",24480.00,38096.00,9.10,6.50,9.30,3.90,29.00,23.80,18.30,16.10
"128 Newcastle, South Tipperary",25325.00,36373.00,14.00,7.80,11.00,5.80,21.40,25.60,14.40,18.00
"129 Tubbrid, South Tipperary",28241.00,43042.00,10.70,11.40,8.00,10.80,18.90,26.30,13.90,9.90
"130 Tullaghmelan, South Tipperary",31865.00,50551.00,8.40,5.60,10.00,8.90,20.70,31.60,14.80,15.70
"131 Tullaghorton, South Tipperary",30900.00,34099.00,14.60,8.20,14.30,4.70,20.50,23.50,14.20,12.20
"132 Ballyclerahan, South Tipperary",31827.00,49887.00,6.90,6.20,16.30,9.30,19.30,28.00,14.10,8.10
"133 Clonmel Rural (Part Urban), South Tipperary",32098.00,42456.00,1.40,4.40,15.40,8.60,25.70,29.10,15.40,14.40
"134 Inishlounaght (Part Urban), South Tipperary",33729.00,43671.00,2.60,3.50,13.40,8.10,20.80,34.30,17.30,11.30
"135 Kilcash, South Tipperary",33428.00,46923.00,8.20,6.80,12.00,9.60,19.40,28.30,15.70,10.40
999 Kilsheelan / Killaloan,31442.00,38106.00,9.00,5.20,13.00,7.30,23.90,24.40,17.10,15.80
"138 Kiltinan, South Tipperary",32253.00,43531.00,17.60,5.60,14.00,6.50,11.80,31.00,13.60,11.60
"139 Lisronagh, South Tipperary",31159.00,37683.00,6.20,4.60,15.20,7.90,20.90,27.30,18.00,15.20
"140 Anner, South Tipperary",25625.00,40289.00,15.30,10.00,10.70,2.40,14.70,26.50,20.30,14.10
"141 Ballingarry, South Tipperary",19876.00,27957.00,14.70,10.80,10.00,7.30,7.70,27.90,21.60,21.50
"142 Ballyphilip, South Tipperary",26236.00,37935.00,13.30,9.30,13.60,5.40,18.40,25.50,14.50,19.70
"143 Buolick, South Tipperary",23517.00,28981.00,12.70,12.40,10.00,7.60,19.10,20.90,17.40,22.30
"144 Crohane, South Tipperary",29832.00,35452.00,16.90,8.30,11.50,14.10,13.90,19.50,15.90,7.80
"145 Farranrory, South Tipperary",27190.00,27223.00,21.70,12.30,8.80,10.00,10.70,23.80,12.80,27.80
"146 Fennor, South Tipperary",27196.00,42565.00,16.40,11.60,16.40,3.10,14.10,23.20,15.20,12.80
"147 Kilcooly, South Tipperary",27352.00,38178.00,18.90,13.50,9.40,6.80,6.90,31.70,12.90,10.80
"148 Kilvemnon, South Tipperary",27089.00,29756.00,16.70,9.60,10.90,11.50,15.00,20.50,15.90,10.10
"149 Modeshil, South Tipperary",24282.00,36935.00,21.00,9.60,9.30,6.30,11.10,24.20,18.30,15.20
"150 Mullinahone, South Tipperary",26265.00,31933.00,11.50,7.80,10.60,8.00,14.40,28.70,19.00,28.50
"151 New Birmingham, South Tipperary",22228.00,34666.00,14.00,8.40,9.90,8.20,27.30,19.20,13.10,25.60
"152 Poyntstown, South Tipperary",19040.00,45029.00,16.20,3.70,14.70,3.40,18.10,27.00,16.90,28.20
"153 Ballycarron, South Tipperary",31654.00,58504.00,14.30,6.70,9.10,10.00,12.30,29.70,17.80,10.40
"154 Ballygriffin, South Tipperary",NA,NA,18.80,2.20,10.50,14.50,14.30,23.80,15.90,9.20
"155 Ballykisteen, South Tipperary",24452.00,38591.00,5.00,4.70,12.30,12.90,17.30,25.10,22.70,13.30
"156 Bansha, South Tipperary",26200.00,35524.00,10.20,6.70,14.20,14.00,10.00,27.60,17.40,19.20
"157 Bruis, South Tipperary",32012.00,40297.00,17.20,3.20,7.80,8.90,13.60,31.70,17.70,7.20
"158 Cappagh, South Tipperary",28622.00,35664.00,5.40,8.00,10.00,7.90,16.40,34.60,17.60,13.50
"159 Clonbeg, South Tipperary",28059.00,40196.00,14.70,4.70,11.40,13.90,12.10,32.70,10.50,13.70
"160 Cullen, South Tipperary",24295.00,37092.00,15.50,6.10,9.00,5.80,18.30,29.80,15.60,11.70
"161 Curraheen, South Tipperary",25189.00,40235.00,13.90,7.60,12.80,5.70,14.80,20.10,24.90,9.80
"162 Donohill, South Tipperary",27236.00,36213.00,9.10,7.00,7.00,8.70,13.80,35.70,18.70,11.30
"163 Drumwood, South Tipperary",31167.00,37876.00,9.30,7.10,8.40,8.60,17.30,34.30,15.00,11.20
"164 Emly, South Tipperary",23449.00,33427.00,11.10,6.20,10.70,11.60,12.10,29.40,19.00,21.30
"165 Glengar, South Tipperary",24796.00,39975.00,14.00,7.60,15.60,14.50,5.10,24.10,19.10,10.30
"166 Golden, South Tipperary",23372.00,32975.00,19.70,6.10,7.40,6.50,9.90,34.20,16.10,12.50
"167 Kilfeakle, South Tipperary",30189.00,36916.00,13.00,5.80,13.40,9.40,17.90,31.20,9.30,10.60
"168 Killadriffe, South Tipperary",27853.00,42271.00,12.10,6.50,7.60,10.40,12.70,29.80,21.00,9.70
"169 Kilmucklin, South Tipperary",28630.00,39193.00,18.50,5.00,11.50,6.90,7.70,33.00,17.50,13.00
"170 Lattin, South Tipperary",24996.00,37996.00,13.80,7.00,11.00,10.60,9.10,33.60,15.00,19.80
"171 Rathlynin, South Tipperary",28630.00,37597.00,19.40,4.00,13.10,6.10,13.30,28.00,16.10,12.60
"172 Rodus, South Tipperary",30711.00,33665.00,14.30,7.50,7.40,6.00,17.50,34.60,12.60,11.40
"173 Shronell, South Tipperary",23370.00,37914.00,14.00,6.00,14.20,9.50,8.10,29.60,18.60,11.80
"174 Solloghodbeg, South Tipperary",24348.00,26372.00,13.50,8.10,8.10,12.80,11.70,22.70,23.20,11.10
"175 Templeneiry, South Tipperary",24384.00,42367.00,13.00,5.70,11.40,9.40,12.20,29.40,18.80,8.20
"176 Thomastown, South Tipperary",27397.00,43001.00,26.00,3.00,9.90,11.60,12.90,24.30,12.20,12.50
"177 Tipperary Rural, South Tipperary",26412.00,39687.00,7.60,3.70,10.50,10.30,13.50,32.70,21.80,16.40
"001 Ballybeg North, Waterford City",21943.00,21969.00,1.40,4.10,14.00,5.90,25.40,22.00,27.30,32.20
999 Ballybeg South / Ballynaneashagh,NA,NA,8.10,2.70,9.60,7.30,18.40,36.90,17.00,20.20
"003 Ballybricken West, Waterford City",NA,NA,NA,3.20,20.10,13.00,6.50,36.50,20.60,31.30
"004 Ballymaclode, Waterford City",39461.00,55689.00,1.50,3.00,13.40,11.90,11.20,46.20,12.80,4.30
